Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,Translated Text
chewkinwah,@kuasasiswa Bail sanitasi minda,2021-07-22 14:31:06+00:00,0,0,0,Twitter for iPad,1418217040792330245,1418122710622760967,reply,Politics,@kuasasiswa Mind sanitation
MynameisIzat,@kuasasiswa Harap zuraida buat sanitasi gunung-gunung kt negara kita ni. Senang nak beraktivit panjat gunung nanti. Lama tak beraktiviti lasak.,2021-07-22 14:54:49+00:00,1,0,0,Twitter for iPhone,1418223010067083268,1418122710622760967,reply,Politics,@kuasasiswa Hope Zuraida does the sanitation of the mountains in our country. It's nice to do mountain climbing activities later. No vigorous activity for a long time.
KennyLi32038941,@kuasasiswa I would agree if she would distinguished outdoor vs indoor reasoning but....,2021-07-22 15:23:38+00:00,1,0,0,Twitter for iPhone,1418230260039000066,1418122710622760967,reply,Politics,@kuasasiswa I would agree if she would distinguished outdoor vs indoor reasoning but....
Kingsma98329615,@kuasasiswa She will be our next menteri air suam,2021-07-22 16:49:34+00:00,0,0,1,Twitter for Android,1418251889158750211,1418122710622760967,reply,Politics,@kuasasiswa She will be our next minister of lukewarm water
TeohZhiHao,@kuasasiswa @DrAmarMOH Sebab jalan raya belum sanitasi lagi🤔,2021-07-22 18:07:03+00:00,0,0,0,Twitter for Android,1418271386166906880,1418122710622760967,reply,Politics,@kuasasiswa @DrAmarMOH Because the roads are not sanitary anymore🤔
Syahputrrr,@kuasasiswa penat la aku dgn menteri menteri bodo ni 😃 https://t.co/KJvmecuSxG,2021-07-22 20:51:50+00:00,3,0,0,Twitter for iPhone,1418312855955197952,1418122710622760967,reply,Politics,@kuasasiswa I'm tired of this stupid minister 😃 https://t.co/KJvmecuSxG
fivezalozile,@kuasasiswa https://t.co/kwKexY7kHl,2021-07-22 23:26:24+00:00,9,6,0,Twitter for Android,1418351755121729538,1418122710622760967,reply,Politics,@kuasasissa https://t.co/kwKexY7kHl
goslim999,@kuasasiswa Cuteeeeeee,2021-07-23 04:13:14+00:00,1,0,0,Twitter for Android,1418423938477031427,1418122710622760967,reply,Politics,@kuasasissa Cuteeeeeee
S1ngam,@kuasasiswa @Kucai_69 Curi curi duit rakyat dan kayakan kroni,2021-07-23 06:56:09+00:00,2,0,0,Twitter for Android,1418464938830438401,1418122710622760967,reply,Politics,@kuasasiswa @Kucai_69 Steal people's money and act like a crony
whocare367,@kuasasiswa kata beliau dengan serius,2021-07-23 07:20:46+00:00,1,0,0,Twitter for Android,1418471130986209283,1418122710622760967,reply,Politics,@kuasasiswa he said seriously
padenpro,@kuasasiswa Lepas ni makcik ni kata nak cucuk vaksin kat bangunan pulak.,2021-07-23 10:33:36+00:00,0,0,0,Twitter for Android,1418519660668932096,1418122710622760967,reply,Politics,"@kuasasiswa Just now, my aunt said she wants to inject the vaccine in the building."
rs_rosli,@kuasasiswa Bijak otak menteri. Bagus projek ni,2021-07-25 00:26:27+00:00,0,0,0,Twitter for iPhone,1419091642846375941,1418122710622760967,reply,Politics,@kuasasiswa Smart brain of the minister. This project is good
abcdefghujan_,@kuasasiswa still piring coklat?,2021-07-22 07:09:39+00:00,0,0,1,Twitter for iPhone,1418105946102853639,1418105063482871809,reply,Politics,@kuasasiswa still a chocolate plate?
kuasasiswa,@abcdefghujan_ Hitam,2021-07-22 07:21:57+00:00,2,1,0,Twitter Web App,1418109042300309505,1418105063482871809,reply,Politics,@abcdefghujan_ Black
_XconstanceX_,@kuasasiswa cool bean,2021-07-22 07:07:02+00:00,0,0,0,Twitter Web App,1418105288545030154,1418105063482871809,reply,Politics,@kuasasiswa cool bean
kuasasiswa,@sid_dek Real spiky hair. Gambar asal The Bollocks yang keluar dalam Maximum Rocknroll zine tahun 1995. https://t.co/lBWsd2roBS,2021-07-22 07:19:12+00:00,10,0,1,Twitter Web App,1418108348222689284,1418105063482871809,reply,Politics,@sid_dek Real spiky hair. Original image of The Bollocks that appeared in 1995 zine Maximum Rocknroll. https://t.co/lBWsd2roBS
TorrrGustavo,@kuasasiswa Allahyarham Abuya dari Rembau.,2021-07-22 07:13:42+00:00,0,0,0,Twitter for Android,1418106967197847553,1418105063482871809,reply,Politics,@kuasasiswa Late Abuya from Rembau.
Kodeykodey1,@kuasasiswa Pay no more than RM2,2021-07-22 07:14:12+00:00,0,0,0,Twitter for Android,1418107092666228737,1418105063482871809,reply,Politics,@kuasasiswa Pay no more than RM2
fadlyzakariya,@kuasasiswa Neo Arqam Punk.,2021-07-22 07:33:04+00:00,0,0,0,Twitter Web App,1418111839871766528,1418105063482871809,reply,Politics,@kuasasiswa Neo Arqam Punk.
siamesechin,@kuasasiswa KP Chaos rulesssss,2021-07-22 08:19:30+00:00,0,0,0,Twitter for iPhone,1418123524493905930,1418105063482871809,reply,Politics,@kuasasiswa KP Chaos rulesssss
ameeramran23,"@kuasasiswa Tom takde, tom sibuk😆",2021-07-22 08:33:03+00:00,0,0,0,Twitter for Android,1418126935704576006,1418105063482871809,reply,Politics,"@kuasasiswa Tom is takde, tom is busy😆"
XAFIRAFFIX,@kuasasiswa Cool,2021-07-22 08:53:08+00:00,0,0,0,Twitter for iPhone,1418131987605323777,1418105063482871809,reply,Politics,@kuasasiswa Cool
Fird_4u5,@kuasasiswa Classmate aku farid ni dulu kat cochrane..ntah apa khabar dia skarang,2021-07-22 09:04:06+00:00,0,0,0,Twitter for Android,1418134748312915971,1418105063482871809,reply,Politics,@kuasasiswa My classmate Farid used to be at Cochrane.. I don't know how he is now
