Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,Translated Text
ZainulRusydi,@XavierNaxa Min @XavierNaxa kalau macbook pakai screen protector okay ke?,2021-11-25 13:30:44+00:00,0,0,1,Twitter for iPhone,1463862718729900033,1463852170998996999,reply,Technology,@XavierNaxa Min @XavierNaxa is it okay if the macbook uses a screen protector?
kebi___,@XavierNaxa Kaca bajaan tu apa bang,2021-11-25 14:05:17+00:00,3,1,3,Twitter for iPhone,1463871413509517321,1463852170998996999,reply,Technology,"@XavierNaxa What's that steel glass, bro?"
4naid26,"@XavierNaxa Nak tanya, perlu ke pakai protector lens?",2021-11-25 14:25:16+00:00,0,0,0,Twitter for iPhone,1463876443612463115,1463852170998996999,reply,Technology,"@XavierNaxa I want to ask, do you need to use a lens protector?"
aliimuhamd,"@XavierNaxa setelah lebih 5 bulan saya menggunakan iphone, saya masih tidak memasang apa apa kaca bajaan kerana sikap suka menangguh😅",2021-11-25 14:55:48+00:00,0,0,1,Twitter for iPhone,1463884129615765506,1463852170998996999,reply,Technology,"@XavierNaxa after more than 5 months of using my iPhone, I still haven't installed any tempered glass because I like to procrastinate😅"
nobitesl,@XavierNaxa Saya guna jenama Kaizengo. Sedap pakai,2021-11-25 15:05:51+00:00,0,0,0,Twitter for iPhone,1463886657128583168,1463852170998996999,reply,Technology,@XavierNaxa I use Kaizengo brand. Good to use
DeenHanafi,@XavierNaxa tukar untuk iPad hari tu.. siap beli cover baharu sekali 😬.. mungkin kena tukar juga untuk iPhone 6+.. baru lah rasa tak teringin nak beli iPhone baharu  😆,2021-11-26 07:07:25+00:00,1,0,0,Twitter Web App,1464128644654120961,1463852170998996999,reply,Technology,@XavierNaxa changed for an iPad that day.. ready to buy a new cover 😬.. may have to change for iPhone 6+ too.. just now I don't want to buy a new iPhone 😆
manotai,@XavierNaxa Kuat racun ni 😂,2021-11-25 12:38:10+00:00,0,0,0,Twitter for iPhone,1463849492290027523,1463849304599056385,reply,Technology,@XavierNaxa This poison is strong 😂
zekzekm,@XavierNaxa Min apple music x support google chromecast ek?,2021-11-25 12:39:17+00:00,1,0,0,Twitter for iPhone,1463849771743866881,1463849304599056385,reply,Technology,@XavierNaxa Min apple music x support google chromecast ek?
anshrq,@XavierNaxa Min bulan mac nanti ada ura ura tak yg akan ada iphone 13 warna baru?,2021-11-25 12:40:28+00:00,0,0,0,Twitter for iPhone,1463850071552712711,1463849304599056385,reply,Technology,"@XavierNaxa Min, in March, will there be a new iPhone 13 color?"
SidiAzzehairul,@XavierNaxa HomePod mini 😮‍💨 https://t.co/7IihzUbVUd,2021-11-25 12:40:33+00:00,2,0,0,Twitter for iPhone,1463850090926280710,1463849304599056385,reply,Technology,@XavierNaxa HomePod mini 😮‍💨 https://t.co/7IihzUbVUd
Drjsminadira_,@XavierNaxa Min Kalau Apple Music dengan google nest mini pula macam mana?,2021-11-26 06:29:21+00:00,0,0,0,Twitter for iPhone,1464119063110578182,1463849304599056385,reply,Technology,@XavierNaxa Min How about Apple Music with Google Nest Mini?
eba88,@XavierNaxa Apple eco-system https://t.co/nrDU1wwk7W,2021-11-27 10:04:01+00:00,0,0,0,Twitter for iPhone,1464535473519411203,1463849304599056385,reply,Technology,@XavierNaxa Apple eco-system https://t.co/nrDU1wwk7W
azfrsamsol,@XavierNaxa Sekilo je dah 10 ringgit. Kalau sekor ayam mau 20ringgit camni 😩😩😩,2021-11-25 12:33:03+00:00,0,0,0,Twitter for iPhone,1463848205615960064,1463847174320496650,reply,Technology,"@XavierNaxa One kilo is already 10 ringgit. If you want a chicken for 20 ringgit, how do you do it 😩😩😩"
danielhariff,@XavierNaxa @emmetmy macam Aeon jer.. sebab aeon memang guna gram... bagitahu jer.. terus terang jer la... tak perlu nak berlindung sangat....,2021-11-25 12:47:58+00:00,2,0,1,Twitter for iPhone,1463851956758192129,1463847174320496650,reply,Technology,@XavierNaxa @emmetmy just like Aeon.. because aeon does use grams... just tell me.. be honest... there's no need to hide so much....
ziqkasya,@XavierNaxa Pinepple whole pa benda tu ?,2021-11-25 12:54:13+00:00,1,0,3,Twitter for Android,1463853530351947780,1463847174320496650,reply,Technology,@XavierNaxa Pinepple whole pa benda tu ?
itsmeborhan,"@XavierNaxa Tulis je RM10.30 sekilo kan senang.
Nak bagi nampak murah kononnya.",2021-11-26 04:59:51+00:00,11,5,1,Twitter for iPhone,1464096540054675458,1463847174320496650,reply,Technology,"@XavierNaxa Just write RM10.30 per kilo, right?
I want to make it look cheap."
hadian90,@XavierNaxa @emmetmy 100G tu x bleh kecik lg ke. Hahaha,2021-11-27 11:52:03+00:00,0,0,0,Twitter for Android,1464562663850070027,1463847174320496650,reply,Technology,@XavierNaxa @emmetmy 100G can't be small anymore. Haha
NursyuhadaHell1,@XavierNaxa @emmetmy https://t.co/JxWkzoLiFx,2021-11-27 05:45:00+00:00,0,0,0,Twitter Web App,1464470292525305856,1463847174320496650,reply,Technology,@XavierNaxa @emmetmy https://t.co/JxWkzoLiFx
XavierNaxa,Saya jangka minggu depan atau selewat-lewatnya awal Disember.,2021-11-25 12:25:13+00:00,19,2,1,Twitter for Android,1463846233387065345,1463846233387065345,Main post,Technology,I expect next week or early December at the latest.
