Unnamed: 0.1,Unnamed: 0,Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,translated,translated cleaned,sentiment Scores,sentiment,sentiment_label,SVM Predicted Label
81,81,altimet,Awal tak kalut. @pentas_io https://t.co/Ong5cl1No9,2021-10-11 09:16:54+00:00,810,207,81,Hootsuite Inc.,1447491388589973504,1447491388589973504,Main post,Celebrity,The beginning is not confusing. @pentas_io https://t.co/Ong5cl1No9,confusing,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative,
82,82,altimet,"Kawan kawan, jiran jiran, perhatikan lah apa yang sendang berlaku. Guna akal masing masing utk sampai ke pendirian sendiri. Jangan lupa pendirian tu bila PRU nanti.",2021-08-02 03:50:17+00:00,9738,7074,51,Hootsuite Inc.,1422042040288923650,1422042040288923650,Main post,Celebrity,"Friends, neighbors, neighbors, pay attention to what is happening. Use your own common sense to come to your own position. Don't forget that stance when the next general election.",friends neighbors neighbors pay attention happening common sense position dont forget stance general election,"{'neg': 0.082, 'neu': 0.641, 'pos': 0.278, 'compound': 0.5213}",0.5213,Positive,
84,84,altimet,Setahun lepas. InsyaAllah kita boleh ulang lagi.  https://t.co/TzRbTsanHM,2021-07-01 02:18:45+00:00,4200,2633,61,Hootsuite Inc.,1410422593413390337,1410422593413390337,Main post,Celebrity,A year ago. God willing we can repeat it again. https://t.co/TzRbTsanHM,year ago god repeat,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.2732}",0.2732,Positive,1.0
87,87,AfikryAibrahim,Merajuk pulak😂 https://t.co/73hRlqTFfe,2021-02-16 09:48:35+00:00,45893,36137,826,Twitter for iPhone,1361613436979847171,1361613436979847171,Main post,Celebrity,Sulking again😂 https://t.co/73hRlqTFfe,sulking,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,0.0
90,90,yunamusic,I forgot to tweet on my bday!! Thanks for all the bday wishes❤️ #14nov https://t.co/Zl9TgmnDxV,2021-11-16 17:38:14+00:00,6100,531,67,Twitter for iPhone,1460663514561843200,1460663514561843200,Main post,Celebrity,I forgot to tweet on my bday!! Thanks for all the bday wishes❤️ #14nov https://t.co/Zl9TgmnDxV,forgot tweet bday bday wishes nov,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.1531}",0.1531,Positive,
92,92,yunamusic,WOO!!!!! OMG Azreen Nabila did her PERSONAL BEST this morning for women’s 100m #Olympics !! My heart!! ❤️❤️❤️🇲🇾🇲🇾🇲🇾 https://t.co/IH3lSbSQhT,2021-07-30 00:27:25+00:00,32174,15664,51,Twitter for iPhone,1420903822470254592,1420903822470254592,Main post,Celebrity,WOO!!!!! OMG Azreen Nabila did her PERSONAL BEST this morning for women’s 100m #Olympics !! My heart!! ❤️❤️❤️🇲🇾🇲🇾🇲🇾 https://t.co/IH3lSbSQhT,woo omg azreen nabila personal morning womens olympics heart,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4767}",0.4767,Positive,
104,104,yunamusic,"Okay now that ive seen all your answers - theyre all mostly my old songs. do you think you love them because they take you back to old memories? these songs (like penakut, cinta sempurna..) they're almost 12 years old..",2021-01-16 16:45:44+00:00,1839,360,127,Twitter Web App,1350484390627840000,1350484390627840000,Main post,Celebrity,"Okay now that ive seen all your answers - theyre all mostly my old songs. do you think you love them because they take you back to old memories? these songs (like penakut, cinta sempurna..) they're almost 12 years old..",ive answers songs love memories songs penakut cinta sempurna years,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369,Positive,
106,106,yunamusic,Are you guys happy?,2021-01-15 15:59:01+00:00,4224,1086,357,Twitter Web App,1350110246006476800,1350110246006476800,Main post,Celebrity,Are you guys happy?,guys happy,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,Positive,
108,108,missfazura,"Assalamualaikum darlings! Ada sesiapa yang berminat untuk bekerja sebagai Barista &amp; Floor Crew? Boleh hubungi +60132501043 untuk maklumat lanjut. Lokasi: Prima Damansara / Damansara Damai. Immediate Hiring! ✨
Lots of Love 💖",2021-05-01 13:56:15+00:00,4099,2366,143,Twitter for iPhone,1388492467847057409,1388492467847057409,Main post,Celebrity,"Peace be upon you darlings! Is there anyone interested in working as a Barista &amp; Floor Crew? Can contact +60132501043 for more information. Location: Prima Damansara / Damansara Damai. Immediate Hiring! ✨
Lots of Love 💖",peace darlings interested working barista floor crew contact location prima damansara damansara damai hiring lots love,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.9274}",0.9274,Positive,
109,109,missfazura,Salam Darlings! Faz teringin nak order lemang untuk Raya ni. Boleh minta tolong suggest kat mana yang sedap? Faz suka yang lembut and rasa lemak masin macam tu.. hehe :) Thank you in advance darlings 🙏🏻💖,2021-04-27 07:23:17+00:00,17261,7184,544,Twitter for iPhone,1386944023072440320,1386944023072440320,Main post,Celebrity,Greetings Darlings! Faz would like to order lemang for Raya. Can you please suggest where is the best? Faz likes soft and salty fat like that.. hehe :) Thank you in advance darlings 🙏🏻💖,darlings faz order lemang raya faz likes soft salty fat hehe advance darlings,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.8481}",0.8481,Positive,
