Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,Translated Text
Hakim_nyn,"@MuhyiddinYassin Teringat lagu kecam2 sampai lebam,  kutuk2 sampai besokk.",2021-05-11 12:40:17+00:00,1,0,0,Twitter for Android,1392097228177563649,1392090452447223809,reply,Politics,"@MuhyiddinYassin I remember the song slandering until I bruise, cursing until tomorrow."
HambaliMuhamma9,@MuhyiddinYassin Ingat tak perasan.,2021-05-11 12:42:17+00:00,1,0,1,Twitter for Android,1392097732173520897,1392090452447223809,reply,Politics,@MuhyiddinYassin Remember I didn't notice.
hypemo,@MuhyiddinYassin Strongly suggest you handle the problems in your own country first,2021-05-11 12:43:01+00:00,0,0,0,Twitter for Android,1392097915275943937,1392090452447223809,reply,Politics,@MuhyiddinYassin Strongly suggest you handle the problems in your own country first
BinEsmanputra,@MuhyiddinYassin Bebual la ko ni....,2021-05-11 12:45:19+00:00,1,0,0,Twitter for iPhone,1392098495096451073,1392090452447223809,reply,Politics,@MuhyiddinYassin I'm just talking....
azfar_yusof,@MuhyiddinYassin Sembang.. nak berdepan dgn pembangkang kat parlimen pun kecut telur.. lagi nak lawan Israel,2021-05-11 12:47:10+00:00,2,0,0,Twitter for Android,1392098957472374785,1392090452447223809,reply,Politics,@MuhyiddinYassin Chat.. I want to face the opposition in parliament and I'm shriveled.. I want to fight Israel
rodiey_chewan,@MuhyiddinYassin Babi,2021-05-11 12:57:09+00:00,0,0,0,Twitter for Android,1392101473639571480,1392090452447223809,reply,Politics,@MuhyiddinYassin Pig
Bluecat40,@MuhyiddinYassin kami juga mengutuk sekeras-kerasnya kerajaan PN. #KerajaanGagal,2021-05-11 12:58:00+00:00,1,0,0,Twitter for Android,1392101687444131840,1392090452447223809,reply,Politics,@MuhyiddinYassin we also strongly condemn the PN government. #KeraanGagal
apistoji,@MuhyiddinYassin Betul ke keras kutuk tu? Serius la keras.. x caya la keras.. hhmmm,2021-05-11 13:01:14+00:00,0,0,0,Twitter for Android,1392102497766940675,1392090452447223809,reply,Politics,@MuhyiddinYassin Is it really hard to curse? It's seriously hard.. I don't think it's hard.. hhmmm
MohdMazwan15,@MuhyiddinYassin Rakyat kne mrh abah.. nnti pilihan raya..,2021-05-11 13:05:34+00:00,1,0,0,Twitter for Android,1392103589699461130,1392090452447223809,reply,Politics,@MuhyiddinYassin The people are ready for the election..
pabanban,@MuhyiddinYassin ABAH BODOH,2021-05-11 13:07:07+00:00,0,0,0,Twitter for iPhone,1392103977878102018,1392090452447223809,reply,Politics,@MuhyiddinYassin STUPID BROTHER
xpack60,@MuhyiddinYassin Kutukan x bermakna,2021-05-11 13:07:35+00:00,0,0,0,Twitter for Android,1392104095398334465,1392090452447223809,reply,Politics,@MuhyiddinYassin Cursing x means
sarasaapee,@MuhyiddinYassin check spelling dulu..keje tido je..,2021-05-11 13:14:02+00:00,0,0,0,Twitter for Android,1392105719722176515,1392090452447223809,reply,Politics,@MuhyiddinYassin check the spelling first..keje tido je..
KesedapanKE_tom,@MuhyiddinYassin Setakat mengutuk je tapi takda action pejadah eh der... Rakyat nergara sendiri pun kau layan mcm anjing lagi nak acah-acah,2021-05-11 13:15:33+00:00,1,0,0,Twitter for Android,1392106103115186178,1392090452447223809,reply,Politics,@MuhyiddinYassin It's as far as cursing but there's no action from the thugs... you treat the people of your own country like dogs and want to mess around
NhananNLI,@MuhyiddinYassin Anda PM Malaysia ke.,2021-05-11 13:15:34+00:00,0,0,0,Twitter for Android,1392106106076372994,1392090452447223809,reply,Politics,@MuhyiddinYassin You are the PM of Malaysia.
0xaFc7,@MuhyiddinYassin Mari kita Kutuk Mengutuk...Akunku Sudh di Kutuk Twitter 34jam Sbb mengutuk israel...💪,2021-05-11 13:18:06+00:00,1,0,0,Twitter for Android,1392106742205480960,1392090452447223809,reply,Politics,@MuhyiddinYassin Let's Curse Curse...My Twitter account has been Cursed for 34 hours for cursing israel...💪
lucasu_san,@MuhyiddinYassin 🤝,2021-05-11 13:18:36+00:00,0,0,0,Twitter for Android,1392106869070602241,1392090452447223809,reply,Politics,@MuhyiddinYassin 🤝
YongSukhaporn,@MuhyiddinYassin PRU nnt kami dh ada hadiah utk anda semua...kami dah ready nk bg hadiah tu nnt,2021-05-11 13:21:10+00:00,2,0,0,Twitter for Android,1392107515253379072,1392090452447223809,reply,Politics,"@MuhyiddinYassin PRU, we have a gift for you all...we are ready to give the gift soon"
AlaminSheikhRo1,@MuhyiddinYassin https://t.co/MJtXX1MQUz,2021-05-11 13:24:11+00:00,1,0,0,Twitter for Android,1392108276481892352,1392090452447223809,reply,Politics,@MuhyiddinYassin https://t.co/MJtXX1MQUz
