Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,Translated Text
afiqnazary,"I got a lot of dm. Not a good lagi lagi waktu PKP. Wherever you are, dont beat yourself too hard. Keep your chin up, its not your fault. Its okay to be sad. InsyaAllah your time will come. Put trust on him :)",2021-01-12 16:33:56+00:00,12,1,0,Twitter for iPhone,1349031871934435331,1349026708372951042,reply,Entrepreneur,"I got a lot of dm. Not a good lagi lagi waktu PKP. Wherever you are, dont beat yourself too hard. Keep your chin up, its not your fault. Its okay to be sad. InsyaAllah your time will come. Put trust on him :)"
Naddiesss,@afiqnazary Okay tak okay kena hadap jugak 😭,2021-01-11 13:03:43+00:00,0,0,0,Twitter for iPhone,1348616581182484480,1348615969908822020,reply,Entrepreneur,@afiqnazary Okay it's not okay to face it 😭
pikyahan,@afiqnazary ok sikit 😅,2021-01-11 13:04:30+00:00,0,0,0,Twitter for iPhone,1348616778620964871,1348615969908822020,reply,Entrepreneur,@afiqnazary ok a bit 😅
syedhxfiz,@afiqnazary ada hikmah boss,2021-01-11 14:15:25+00:00,0,0,0,Twitter for iPhone,1348634623312490496,1348615969908822020,reply,Entrepreneur,@afiqnazary there is wisdom boss
zuhailiyahaya,@afiqnazary Kan. Everytime ada problem focus dekat solution sebab kalau fikir masalah dia tak selesaikan apa2. Lagi pening ada lah. Btw i love to see your content bro. Memang relate sangat dengan apa yang belajar dekat university. That is how you grow your business 👨‍💼,2021-01-07 15:21:19+00:00,0,0,0,Twitter for iPhone,1347201657692540929,1347190463804030979,reply,Entrepreneur,"@afiqnazary Kan. Everytime there is a problem of focusing on the solution because if you think about the problem, it won't solve anything. There's more dizziness. Btw i love to see your content bro. It really relates to what I studied at the university. That is how you grow your business 👨‍💼"
royale_birdnest,@afiqnazary @azlanhuzeifa Preach,2021-01-05 16:50:40+00:00,0,0,0,Twitter for iPhone,1346499365322465282,1346476576905461768,reply,Entrepreneur,@afiqnazary @azlanhuzeifa Preach
afiqnazary,@Avino1001 Binance,2021-01-05 13:51:42+00:00,1,0,0,Twitter for iPhone,1346454328567947266,1346452621679185922,reply,Entrepreneur,@Avino1001 Binance
afiqnazary,@Sitigoodgirl Tak berani nak bagi pendapat 😅,2021-01-06 08:28:48+00:00,1,0,1,Twitter for iPhone,1346735455421624325,1346452621679185922,reply,Entrepreneur,@Sitigoodgirl I don't dare to share my opinion 😅
afiqnazary,Salary? DM me. I prefer to talk and discussed this one.,2021-01-02 09:29:17+00:00,0,0,3,Twitter for iPhone,1345301125939924992,1345300857152106496,reply,Entrepreneur,Salary? DM me. I prefer to talk and discussed this one.
NoorKamis,"@afiqnazary Hello Afiq,I was told that u are looking for a writer. a ghost writer to be specific. Do email me at noor.kamis@gmail.com for us to talk further. I am not an active social media person. We can communicate through email",2021-01-17 01:37:00+00:00,0,0,0,Twitter Web App,1350618090824818690,1345300857152106496,reply,Entrepreneur,"@afiqnazary Hello Afiq,I was told that u are looking for a writer. a ghost writer to be specific. Do email me at noor.kamis@gmail.com for us to talk further. I am not an active social media person. We can communicate through email"
