,Category,Username,followers_count
0,Entertainer,sofyank96,165963
1,Entertainer,LuqmanPodolski,373473
2,Entertainer,hazemanhuzir,170309
3,Entertainer,CeddyOrNot,93238
4,Entertainer,brgsjks,601568
5,Entertainer,Azfarheri,1600182
6,Entertainer,Matluthfi90,1148066
7,Politics,chairman_GLC,43600
8,Politics,Khairykj,2904857
9,Politics,MuhyiddinYassin,1285412
10,Politics,limlipeng,28475
11,Politics,kuasasiswa,278523
12,Politics,NajibRazak,4159300
13,Politics,n_izzah,1404504
14,Politics,anwaribrahim,1814497
15,Politics,SyedSaddiq,1433780
16,Technology,XavierNaxa,334765
17,Technology,fazlihalimmedia,38975
18,Technology,thefaizzainal,40214
19,Technology,aribismail,11646
20,Technology,acaiijawe,76731
21,Celebrity,altimet,547351
22,Celebrity,AfikryAibrahim,63582
23,Celebrity,yunamusic,2421637
24,Celebrity,CTNurhaliza11,2456196
25,Celebrity,AaronDwiAziz,1988861
26,Celebrity,missfazura,1807329
27,Celebrity,Nor4Danish,1930573
28,Celebrity,Shaheizy_Sam,2162722
29,Entrepreneur,FezzaHussin,14688
30,Entrepreneur,adibhazlami,8404
31,Entrepreneur,afiqnazary,4463
32,Entrepreneur,AmirulMu_min,11993
33,Entrepreneur,richardker,46988
34,Entrepreneur,IZZTAZWAR,18997
35,Entrepreneur,khairulaming,1431849
36,Fitness and others,najibfazail,34005
37,Fitness and others,fedtriyahya,353227
38,Fitness and others,Pandelela_R,86298
39,Fitness and others,ijaicool,212371
40,Fitness and others,DrAmalinaBakri,822443
